review,sentiment
Great acting,positive
Poor direction,negative
Average movie,neutral
Enjoyed every moment,positive
Absolutely awful,negative
Okayish film,neutral
Brilliant film,positive
Bad acting,negative
Average movie,neutral
I loved this movie,positive
Worst film ever,negative
Nothing special,neutral
Superb direction,positive
Terrible experience,negative
Okayish film,neutral
Superb direction,positive
Not worth watching,negative
Average movie,neutral
Fantastic story,positive
Poor direction,negative
Decent but forgettable,neutral
Highly recommended,positive
Worst film ever,negative
It was okay,neutral
Enjoyed every moment,positive
Waste of time,negative
So-so story,neutral
Superb direction,positive
Poor direction,negative
Neither good nor bad,neutral
Superb direction,positive
Not worth watching,negative
Neither good nor bad,neutral
Great acting,positive
I hated this movie,negative
Neither good nor bad,neutral
Amazing experience,positive
Very disappointing,negative
Neither good nor bad,neutral
Superb direction,positive
Not worth watching,negative
So-so story,neutral
Absolutely wonderful,positive
Worst film ever,negative
Average movie,neutral
Superb direction,positive
Very disappointing,negative
Just fine,neutral
Brilliant film,positive
Very disappointing,negative
It was alright,neutral
Great acting,positive
Waste of time,negative
Neither good nor bad,neutral
Fantastic story,positive
Terrible experience,negative
Nothing special,neutral
Brilliant film,positive
Waste of time,negative
Average movie,neutral
Great acting,positive
Bad acting,negative
It was alright,neutral
Best movie ever,positive
Absolutely awful,negative
Nothing special,neutral
Absolutely wonderful,positive
Terrible experience,negative
It was okay,neutral
Great acting,positive
Terrible experience,negative
Neither good nor bad,neutral
Absolutely wonderful,positive
Poor direction,negative
Mediocre experience,neutral
Great acting,positive
I hated this movie,negative
Decent but forgettable,neutral
Highly recommended,positive
Terrible experience,negative
Nothing special,neutral
Best movie ever,positive
Bad acting,negative
Decent but forgettable,neutral
Highly recommended,positive
Waste of time,negative
Average movie,neutral
Absolutely wonderful,positive
Terrible experience,negative
It was okay,neutral
Amazing experience,positive
I hated this movie,negative
Average movie,neutral
Highly recommended,positive
Waste of time,negative
Neither good nor bad,neutral
Amazing experience,positive
Boring and slow,negative
Decent but forgettable,neutral
Superb direction,positive
